# file...... Load671Power.csv
# date...... Wed Aug 15 12:08:11 2018
# user...... hu000007
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-04 15:01:00 EST,+69298.8+40764j,+95626.6+55057.7j,+102381+59503.6j,+77886.1+30512.1j,+70550.5+62250.4j,+132210+96649.9j
2000-01-04 16:01:00 EST,+70209.4+41299.6j,+99683.8+57393.7j,+100001+58120.1j,+83670.5+32778.1j,+70565.5+62263.7j,+126547+92510.5j
2000-01-04 17:01:00 EST,+72046.9+42380.5j,+91793.2+52850.6j,+102735+59709.5j,+81511.8+31932.4j,+70570.6+62268.2j,+132842+97112.2j
2000-01-04 18:01:00 EST,+69319.9+40776.4j,+92678.8+53360.5j,+100597+58466.8j,+76081.7+29805.2j,+70566+62264.1j,+124907+91311j
2000-01-04 19:01:00 EST,+71931.5+42312.7j,+94892.9+54635.3j,+100348+58322j,+77246.8+30261.6j,+70550.5+62250.4j,+133625+97684.4j
2000-01-04 20:01:00 EST,+70379.5+41399.7j,+93308.1+53722.8j,+100650+58497.5j,+76179.8+29843.6j,+70550.3+62250.3j,+127268+93037.1j
2000-01-04 21:01:00 EST,+71666.8+42157j,+96038.6+55294.9j,+101297+58873.7j,+84663.8+33167.3j,+70557.3+62256.4j,+127956+93540j
2000-01-04 22:01:00 EST,+70652.8+41560.5j,+92030.1+52987j,+101381+58922.3j,+79212.2+31031.6j,+70566.1+62264.2j,+129337+94549.6j
2000-01-04 23:01:00 EST,+69666.4+40980.2j,+99583.4+57335.9j,+99888.5+58054.8j,+75091.6+29417.3j,+70570.6+62268.2j,+134049+97994.3j
2000-01-05 00:01:00 EST,+70710.8+41594.6j,+96848.4+55761.2j,+101098+58757.6j,+84247.8+33004.3j,+70553.7+62253.3j,+125071+91431.5j
2000-01-05 01:01:00 EST,+69834.9+41079.3j,+93789.3+53999.9j,+101518+59001.8j,+84606.2+33144.7j,+70552.3+62252j,+131352+96023.1j
2000-01-05 02:01:00 EST,+70958.6+41740.4j,+94705.1+54527.2j,+101502+58992.7j,+74861.8+29327.3j,+70564.9+62263.1j,+124875+91287.8j
2000-01-05 03:01:00 EST,+70254.6+41326.2j,+92976.4+53531.8j,+101044+58726.5j,+76643.4+30025.2j,+70557+62256.2j,+128290+93784.2j
2000-01-05 04:01:00 EST,+71282.9+41931.1j,+99524+57301.7j,+100665+58506.1j,+84126.4+32956.7j,+70551.9+62251.7j,+125716+91902.7j
2000-01-05 05:01:00 EST,+72053.9+42384.7j,+99301.3+57173.5j,+99910.9+58067.9j,+75964.9+29759.5j,+70574.4+62271.5j,+133467+97569.1j
2000-01-05 06:01:00 EST,+70004.2+41179j,+94902.7+54640.9j,+100707+58530.5j,+76880.1+30118j,+70557.7+62256.8j,+131523+96148.2j
2000-01-05 07:01:00 EST,+70740.5+41612.1j,+96605+55621.1j,+100912+58649.7j,+79277.6+31057.2j,+70569.8+62267.4j,+133974+97939.7j
2000-01-05 08:01:00 EST,+69774.7+41043.9j,+97644.2+56219.4j,+101069+58741.2j,+76872.9+30115.1j,+70560.8+62259.6j,+126051+92147.8j
2000-01-05 09:01:00 EST,+70886.7+41698j,+98487.7+56705.1j,+102141+59364.1j,+79592.1+31180.4j,+70555.5+62254.8j,+131149+95874.3j
2000-01-05 10:01:00 EST,+71336.1+41962.4j,+99456.6+57262.9j,+99531.8+57847.6j,+79180.4+31019.1j,+70564.7+62262.9j,+124492+91007.6j
2000-01-05 11:01:00 EST,+71420.9+42012.3j,+98990.5+56994.5j,+103098+59920.4j,+76587.3+30003.3j,+70549.3+62249.4j,+127733+93377.6j
2000-01-05 12:01:00 EST,+70906.9+41710j,+92742+53396.9j,+103200+59979.4j,+81734.9+32019.9j,+70547.5+62247.8j,+129645+94775.1j
2000-01-05 13:01:00 EST,+72255.3+42503.1j,+96673.4+55660.5j,+99068.2+57578.1j,+83483.1+32704.7j,+70551.5+62251.3j,+126565+92523.4j
